"STARTUP_ID","ORDER_ID","COUNTRY","REGION","PROFILE_CREATED","PROFILE_CREATION_DATE","CLOUD_USAGE","CLOUD","USAGE_COMPLETION_DATE","CASE_STUDY","CASE_STUDY_LAST_UPDATE_DATE","REF_ARCH","REF_ARCH_FILE_COUNT","REF_ARCH_WORKLOAD","REF_ARCH_COMMENTS","REF_ARCH_LAST_UPDATE_DATE","INTEGRATION_STRATEGY","IS_SOLUTION_FLAG","IS_SOLUTION","IS_INTEGRATION_FLAG","IS_DATE","ELEVATOR_PITCH","ELEVATOR_PITCH_LAST_UPDATE_DATE","VECTOR_LOGO","LOGO_FILE_COUNT","VECTOR_LOGO_LAST_UPDATE_DATE","PK_USAGE","PROMOTION_KIT_FLAG","MAIL_SENT","MAIL_SENT_DATE","NS_INTERNAL_ID","LAST_UPDATE_DATE","MC_COMPLETE_STATUS"
29772,12285,"India","JAPAC","Complete",11-MAR-22,2020.32334204122,"Complete",11-MAY-22,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Complete","No","",,751457,13-MAY-22,"N"
25547,10734,"United States of America","NAS","Incomplete",,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,638974,01-JAN-70,"N"
29709,12270,"Ethiopia","EMEA","Complete",28-MAR-22,369.109074386,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Complete","No","",,747845,28-MAR-22,"N"
4181,7007,"Brazil","LAD","Complete",05-NOV-20,2492.804216111,"Complete",06-OCT-21,"Complete",30-AUG-21,"Complete",1,"Test Development Environment,Production Environment (Customer Facing),Production Environment (Internal Facing),All-In Production Environment,Backup Existing Environment","null",30-AUG-21,"Complete","Yes","Yes, SOMMA.ai runs entirely on Oracle Cloud. Both the development tool (SOMMA Studio) and the processing (SOMMA Core) are performed in the Oracle Cloud.","Yes",30-AUG-21,"Complete",03-SEP-21,"Complete",2,14-SEP-21,"Complete","No","Y",08-OCT-21,326640,08-OCT-21,"Y"
4354,7085,"United States of America","NAS","Complete",25-NOV-20,1466.825679499,"Complete",14-APR-21,"Complete",05-NOV-21,"Complete",1,"Test Development Environment","null",05-NOV-21,"Complete","Yes","AMCOP is already integrated with Oracle Cloud.","Yes",05-NOV-21,"Complete",08-NOV-21,"Complete",1,09-NOV-21,"Complete","No","Y",09-NOV-21,339333,09-NOV-21,"Y"
30592,12442,"Saudi Arabia","EMEA","Incomplete",,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,800863,01-JAN-70,"N"
1328,3387,"India","JAPAC","Complete",24-DEC-19,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,60720,24-DEC-19,"N"
22096,8983,"United States of America","NAS","Incomplete",,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,544060,01-JAN-70,"N"
2023,4101,"India","JAPAC","Complete",09-MAR-20,1815.246876708,"Complete",21-APR-21,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Complete","No","",,136952,09-MAR-20,"N"
3125,6303,"Colombia","LAD","Complete",20-JUL-20,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,240997,20-JUL-20,"N"
2759,5947,"India","JAPAC","Incomplete",,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,208753,01-JAN-70,"N"
19898,8063,"Uruguay","LAD","Incomplete",,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,424583,01-JAN-70,"N"
2637,5854,"Argentina","LAD","Incomplete",,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,196477,01-JAN-70,"N"
2398,5611,"Australia","JAPAC","Incomplete",,,"Incomplete",,"Incomplete",,"Incomplete",,"","",,"Incomplete","","","",,"Incomplete",,"Incomplete",,,"Incomplete","No","",,166898,01-JAN-70,"N"
